"Institution Name","Administrative Unit Number","School Branch","Category","Status","Phone Number","Phone_Number_Extn","Web_Address","County","City","Primary Administrator","School Year"
"Allegheny College","405200304","0","Private College and University","Open","8143323100",,"https://allegheny.edu/","Crawford",,"Dr Ron   Cole , Chief Executive Officer","SY2324"
"Alvernia University","414060384","0","Private College and University","Open","6107968200",,"https://www.alvernia.edu","Berks",,"Dr Glynis A Fitzgerald , Chief Executive Officer","SY2324"
"American Advanced Institute of Technology","422094139","0","Private Licensed School","Open","2678409000",,"http://www.aaitschool.com/","Bucks",,"Mr Alexander   Naroditskiy , Chief Executive Officer","SY2324"
"American College of Education","450007658","0","Approved Out of State College and University","Open","9728960793",,"http://www.ace.edu","Out-of-State","York","Dr Shawntel D Landry , Chief Executive Officer","SY2324"
"American College of Education","450007658","0","Non-Approved Out of State College and University","Open","9728960793",,"http://www.ace.edu","Out-of-State","York","Dr Shawntel D Landry , Chief Executive Officer","SY2324"
"American College of Financial Services","425230414","0","Private College and University","Open","6105261000",,"https://www.theamericancollege.edu/","Montgomery",,"Mr George   Nichols III, Chief Executive Officer","SY2324"
"American Institute","400001209","0","Private Licensed School","Open","9143687261",,"https://www.americaninstitute.edu/","Out-of-State",,"Mr Robert   Moore , Director","SY2324"
"American Institute","400006219","0","Private Licensed School","Open","9143687261",,"https://www.americaninstitute.edu/","Out-of-State","Toms River","Mr Timothy   Rodgers , Director","SY2324"
"Angelo State University","421000233","0","Non-Approved Out of State College and University","Open","3259422555",,"http://www.angelo.edu","Out-of-State",,,"SY2324"
"Angley College","403006001","0","Non-Approved Out of State College and University","Open","3212570797",,"http://www.angley.edu","Out-of-State",,,"SY2324"
"Anna Maria College","485006749","0","Non-Approved Out of State College and University","Open","5088493300",,"http://www.annamaria.edu","Out-of-State",,,"SY2324"
"Anthem College-Phoenix","467005217","0","Non-Approved Out of State College and University","Open","6022799700",,"http://www.anthem.edu","Out-of-State",,,"SY2324"
"Applied Motion Technologies, Inc./ITTC","420482209","0","Private Licensed School","Open","6107042591",,"https://amthydraulics.com/","Northampton",,"Ms Veronica   DeMarest , Director","SY2324"
"Apprentice Training for the Electrical Industry (ATEI)","426516159","0","Private Licensed School","Open","2155676405",,"http://www.atei98.org/","Philadelphia",,"Mr Brian   Myers , Chief Executive Officer","SY2324"
"Aquinas College","452008713","0","Non-Approved Out of State College and University","Open","6152977545",,"http://www.aquinascollege.edu","Out-of-State",,,"SY2324"
"Aquinas College","457009062","0","Non-Approved Out of State College and University","Open","6166328900",,"http://www.aquinas.edu","Out-of-State",,,"SY2324"
"Aquinas Institute of Theology","406005080","0","Non-Approved Out of State College and University","Open","3142568800",,"http://www.ai.edu","Out-of-State",,,"SY2324"
"Arcadia University","423460504","0","Private College and University","Open","2155722900",,"https://www.arcadia.edu","Montgomery",,"Dr Ajay   Nair , Chief Executive Officer","SY2324"
"Arizona Christian University","440008460","0","Non-Approved Out of State College and University","Open","6024895300",,"http://www.swcaz.edu","Out-of-State",,,"SY2324"
"Arizona School of Acupuncture and Oriental Medicine","472004338","0","Non-Approved Out of State College and University","Open",,,"http://www.asaom.edu","Out-of-State",,,"SY2324"
"Arizona State University","443007382","0","Non-Approved Out of State College and University","Open","4809659011",,"http://www.asu.edu/","Out-of-State",,,"SY2324"
"Arkansas Baptist College","478009377","0","Non-Approved Out of State College and University","Open","5013704000",,"http://www.arkansasbaptist.edu","Out-of-State",,,"SY2324"
"Arkansas State University-Main Campus","483005898","0","Non-Approved Out of State College and University","Open","8709722100",,"http://www.www2.astate.edu","Out-of-State",,,"SY2324"
"Arkansas Tech University","419000064","0","Non-Approved Out of State College and University","Open","4799680389",,"http://www.atu.edu","Out-of-State",,,"SY2324"
"Arlington Baptist College","437001835","0","Non-Approved Out of State College and University","Open",,,"http://www.abconline.edu","Out-of-State",,,"SY2324"
"Armstrong Atlantic State University","424003702","0","Non-Approved Out of State College and University","Open","9123442806",,"http://www.armstrong.edu","Out-of-State",,,"SY2324"
"Art Academy of Cincinnati","426005011","0","Non-Approved Out of State College and University","Open","5135626262",,"http://www.artacademy.edu","Out-of-State",,,"SY2324"
"Art Center College of Design","431001110","0","Non-Approved Out of State College and University","Open","6263962200",,"http://www.artcenter.edu","Out-of-State",,,"SY2324"
"Asbury Theological Seminary","492006238","0","Non-Approved Out of State College and University","Open","8598583581",,"http://www.asburyseminary.edu","Out-of-State",,,"SY2324"
"Asbury University","424004765","0","Non-Approved Out of State College and University","Open","8598583511",,"http://www.asbury.edu","Out-of-State",,,"SY2324"
"Ashland University Dwight Schar College of Nursing","448004306","0","Non-Approved Out of State College and University","Open","4195202600",,"http://www.ashland.edu","Out-of-State",,,"SY2324"
"Aspen University","426009791","0","Non-Approved Out of State College and University","Open","8004414746",,"http://www.aspen.edu","Out-of-State",,,"SY2324"
"ASPIRA City College","426510059","0","Private Licensed School","Open","2154316941",,"http://aspiracitycollege.edu","Philadelphia",,"Ms Jillian   Alcaro , Director","SY2324"
"Associated Mennonite Biblical Seminary","421003011","0","Non-Approved Out of State College and University","Open","5742953726",,"http://www.ambs.edu","Out-of-State",,,"SY2324"
"Assumption College","401009256","0","Non-Approved Out of State College and University","Open","5087677000",,"http://www.assumption.edu","Out-of-State",,,"SY2324"
"Atenas College","472003583","0","Non-Approved Out of State College and University","Open","7878843838",,,"Out-of-State",,,"SY2324"
"Athenaeum of Ohio","450003643","0","Non-Approved Out of State College and University","Open","5132312223",,"http://www.athenaeum.edu","Out-of-State",,,"SY2324"
"Athens State University","411004044","0","Non-Approved Out of State College and University","Open","2562338100",,"http://www.athens.edu","Out-of-State",,,"SY2324"
"Atlanta Christian College","422001111","0","Non-Approved Out of State College and University","Open","4047618861",,"http://www.acc.edu","Out-of-State",,,"SY2324"
"Atlanta's John Marshall Law School","469006322","0","Non-Approved Out of State College and University","Open","4048723593",,"http://www.johnmarshall.edu","Out-of-State",,,"SY2324"
"Atlantic College","482009252","0","Non-Approved Out of State College and University","Open",,,"http://www.atlanticcollege-pr.com","Out-of-State",,,"SY2324"
"Atlantic Institute of Oriental Medicine","445006862","0","Non-Approved Out of State College and University","Open",,,"http://www.atom.edu","Out-of-State",,,"SY2324"
"Atlantic Union College","454003760","0","Non-Approved Out of State College and University","Open","9783682000",,"http://www.auc.edu","Out-of-State",,,"SY2324"
"ATSU School of Osteopathic Medicine in Arizona","400001931","0","Approved Out of State College and University","Open","4802196000",,,"Out-of-State","Scranton","Dr Craig M Phelps DO, Chief Executive Officer","SY2324"
"ATSU School of Osteopathic Medicine in Arizona","400001931","0","Non-Approved Out of State College and University","Open","4802196000",,,"Out-of-State","Scranton","Dr Craig M Phelps DO, Chief Executive Officer","SY2324"
"ATSU SOMA - Wright Center for Community Health","400001931","1","Approved Out of State College and University","Open","4802196010",,"https://thewrightcenter.org/atsu-soma-3/","Lackawanna","Scranton","Dr O.T.   Wendel , Chief Executive Officer","SY2324"
"Auburn University","459009998","0","Non-Approved Out of State College and University","Open","3348444000",,"http://www.auburn.edu","Out-of-State",,,"SY2324"
"Auburn University at Montgomery","451008178","0","Non-Approved Out of State College and University","Open","3342443000",,"http://www.aum.edu","Out-of-State",,,"SY2324"
"Aurora University","492007439","0","Non-Approved Out of State College and University","Open","6308926431",,"http://www.aurora.edu","Out-of-State",,,"SY2324"
"Austin College","444006062","0","Non-Approved Out of State College and University","Open","9038132000",,"http://www.austincollege.edu","Out-of-State",,,"SY2324"
"Austin Graduate School of Theology","463009180","0","Non-Approved Out of State College and University","Open","5124762772",,"http://www.austingrad.edu","Out-of-State",,,"SY2324"
"Austin Peay State University","443005235","0","Non-Approved Out of State College and University","Open","9312217011",,"http://www.apsu.edu","Out-of-State",,,"SY2324"
"Austin Presbyterian Theological Seminary","405005534","0","Non-Approved Out of State College and University","Open","5124726736",,"http://www.austinseminary.edu","Out-of-State",,,"SY2324"
"Automotive Training Center","424150909","0","Private Licensed School","Open","6103636716",,"http://www.autotraining.edu","Chester",,"Mr Donald   VanDemark, Jr. , Chief Executive Officer","SY2324"
"Automotive Training Center/Warminster","422091199","0","Private Licensed School","Open","2152591900",,"http://www.autotraining.edu","Bucks",,"Ms Trisha   Devine , Chief Executive Officer","SY2324"
"Ave Maria School of Law","434009550","0","Non-Approved Out of State College and University","Open","2396875300",,"http://www.avemarialaw.edu","Out-of-State",,,"SY2324"
"Ave Maria University","453004643","0","Non-Approved Out of State College and University","Open","2392802500",,"http://www.avemaria.edu","Out-of-State",,,"SY2324"
"Averett University","404003587","0","Non-Approved Out of State College and University","Open","4347915600",,"http://www.averett.edu","Out-of-State",,,"SY2324"
"Averett University-Non-Traditional Programs","432006227","0","Non-Approved Out of State College and University","Open","8004485233",,"http://www.averett.edu/working-professionals/index.html","Out-of-State",,,"SY2324"
"Aviation Institute of Maintenance","426517329","0","Private Licensed School","Open","2156767700",,"http://www.AviationMaintenance.edu","Philadelphia",,"Ms Stephanie   Makhoul , Director","SY2324"
"Avila University","491008916","0","Non-Approved Out of State College and University","Open","8169428400",,"http://www.Avila.edu","Out-of-State",,,"SY2324"
"AW Trucking School LLC","421392159","0","Private Licensed School","Open","6105083011",,"https://www.awdrivingschool.com/","Lehigh","Allentown","Mr Andre M Wilkerson , Chief Executive Officer","SY2324"
"Azusa Pacific University","471007007","0","Non-Approved Out of State College and University","Open","6269693434",,"http://www.apu.edu","Out-of-State",,,"SY2324"
"Babson College","457007649","0","Non-Approved Out of State College and University","Open","7812351200",,"http://www.babson.edu","Out-of-State",,,"SY2324"
"Bacone College","468006266","0","Non-Approved Out of State College and University","Open",,,"http://www.bacone.edu","Out-of-State",,,"SY2324"
"Bainbridge Graduate Institute","478007356","0","Non-Approved Out of State College and University","Open","2068559559",,"http://www.bgi.edu","Out-of-State",,,"SY2324"
"Bais Binyomin Academy","421003638","0","Non-Approved Out of State College and University","Open","2033254351",,,"Out-of-State",,,"SY2324"
"Bais Medrash Elyon","484005072","0","Non-Approved Out of State College and University","Open","8453567064",,,"Out-of-State",,,"SY2324"
"Bais Medrash Toras Chesed","464008038","0","Non-Approved Out of State College and University","Open",,,,"Out-of-State",,,"SY2324"
"Baker College Center for Graduate Studies","461002562","0","Non-Approved Out of State College and University","Open","8107664021",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College Corporate Services","463007939","0","Non-Approved Out of State College and University","Open","5867905235",,"http://www.corporate.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Allen Park","474005263","0","Non-Approved Out of State College and University","Open","3134253700",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Auburn Hills","488008279","0","Non-Approved Out of State College and University","Open","2483400600",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Cadillac","482006215","0","Non-Approved Out of State College and University","Open","2318763101",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Clinton Township","483005206","0","Non-Approved Out of State College and University","Open","5867916610",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Flint","467004128","0","Non-Approved Out of State College and University","Open","8107664000",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Jackson","481005552","0","Non-Approved Out of State College and University","Open","5177896123",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Muskegon","414009149","0","Non-Approved Out of State College and University","Open","2317778800",,"http://www.Baker.edu","Out-of-State",,,"SY2324"
"Baker College of Owosso","487006980","0","Non-Approved Out of State College and University","Open","9897293300",,"http://www.baker.edu","Out-of-State",,,"SY2324"
"Baker College of Port Huron","481008768","0","Non-Approved Out of State College and University","Open","8109857000",,"http://www.baker.edu/","Out-of-State",,,"SY2324"
"Baker University","416009227","0","Non-Approved Out of State College and University","Open","8008734282",,"http://www.bakeru.edu","Out-of-State",,,"SY2324"
"Bakke Graduate University","440002876","0","Non-Approved Out of State College and University","Open","2062649100",,"http://www.bgu.edu","Out-of-State",,,"SY2324"
"Baldwin-Wallace College","406005993","0","Non-Approved Out of State College and University","Open","4408262900",,"http://www.bw.edu","Out-of-State",,,"SY2324"
"Ball State University","474000225","0","Non-Approved Out of State College and University","Open","7652891241",,"http://www.bsu.edu","Out-of-State",,,"SY2324"
"Baltimore International College","411009296","0","Non-Approved Out of State College and University","Open",,,"http://www.bic.edu","Out-of-State",,,"SY2324"
"Bangor Theological Seminary","470003598","0","Non-Approved Out of State College and University","Open",,,"http://www.BTS.edu","Out-of-State",,,"SY2324"
"Bank Street College of Education","460007724","0","Non-Approved Out of State College and University","Open","2128754400",,"http://www.bankstreet.edu","Out-of-State",,,"SY2324"
"Baptist Bible College and Graduate School","432001335","0","Non-Approved Out of State College and University","Open","4172686060",,"http://www.gobbc.edu","Out-of-State",,,"SY2324"
"Baptist Memorial College of Health Sciences","495000296","0","Non-Approved Out of State College and University","Open","9015722468",,"http://www.bchs.edu","Out-of-State",,,"SY2324"
"Baptist Missionary Association Theological Seminary","485002497","0","Non-Approved Out of State College and University","Open","9035862501",,"http://www.bmats.edu","Out-of-State",,,"SY2324"
"Baptist Theological Seminary at Richmond","433002525","0","Non-Approved Out of State College and University","Open","8043558135",,"http://www.btsr.edu","Out-of-State",,,"SY2324"
"Baptist University of the Americas","410007472","0","Non-Approved Out of State College and University","Open",,,"http://www.bua.edu","Out-of-State",,,"SY2324"
"Barclay College","470006728","0","Non-Approved Out of State College and University","Open","6208625252",,"http://www.barclaycollege.edu","Out-of-State",,,"SY2324"
"Bard College","472001174","0","Non-Approved Out of State College and University","Open","8457586822",,"http://www.bard.edu","Out-of-State",,,"SY2324"
"Bard College at Simon's Rock","479006914","0","Non-Approved Out of State College and University","Open","4136444400",,"http://www.simons-rock.edu/","Out-of-State",,,"SY2324"
"Barnard College","413007292","0","Non-Approved Out of State College and University","Open","2128545262",,"http://www.barnard.edu","Out-of-State",,,"SY2324"
"Barnes-Jewish College Goldfarb School of Nursing","454007056","0","Non-Approved Out of State College and University","Open","3144547055",,"http://www.barnesjewishcollege.edu","Out-of-State",,,"SY2324"
"Barry University","429004516","0","Non-Approved Out of State College and University","Open","8007566000",,"http://www.barry.edu","Out-of-State",,,"SY2324"
"Barton College","493009734","0","Non-Approved Out of State College and University","Open","2523996300",,"http://WWW.BARTON.EDU","Out-of-State",,,"SY2324"
"Bastyr University","453000480","0","Non-Approved Out of State College and University","Open","4258231300",,"http://www.bastyr.edu","Out-of-State",,,"SY2324"
"Bates College","438002610","0","Non-Approved Out of State College and University","Open","2077866000",,"http://www.bates.edu/","Out-of-State",,,"SY2324"
"Bauder College","439006358","0","Non-Approved Out of State College and University","Open","4042377573",,"http://www.bauder.edu","Out-of-State",,,"SY2324"
"Bay Path College","483004162","0","Non-Approved Out of State College and University","Open","4135651000",,"http://www.baypath.edu","Out-of-State",,,"SY2324"
"Bay State College","483008731","0","Non-Approved Out of State College and University","Open","6172179000",,"http://www.baystate.edu","Out-of-State",,,"SY2324"
"Bayamon Central University","470005440","0","Non-Approved Out of State College and University","Open",,,"http://www.ucb.edu.pr","Out-of-State",,,"SY2324"
"Baylor College of Medicine","492008194","0","Non-Approved Out of State College and University","Open","7137984951",,"http://www.bcm.edu","Out-of-State",,,"SY2324"
"Baylor University","480008696","0","Non-Approved Out of State College and University","Open","2547101011",,"http://www.baylor.edu","Out-of-State",,,"SY2324"
"Beacon College","441004362","0","Non-Approved Out of State College and University","Open","3527877660",,"http://www.beaconcollege.edu","Out-of-State",,,"SY2324"
"Becker College","423007674","0","Non-Approved Out of State College and University","Open","5087919241",,"http://www.becker.edu","Out-of-State",,,"SY2324"
"Beckfield College","461005098","0","Non-Approved Out of State College and University","Open",,,"http://www.beckfield.edu","Out-of-State",,,"SY2324"
"Beis Medrash Heichal Dovid","496000747","0","Non-Approved Out of State College and University","Open",,,,"Out-of-State",,,"SY2324"
"Belhaven University","478006271","0","Non-Approved Out of State College and University","Open","6019685940",,"http://www.belhaven.edu","Out-of-State",,,"SY2324"
"Bellarmine University","428001205","0","Non-Approved Out of State College and University","Open","5022728000",,"http://www.bellarmine.edu","Out-of-State",,,"SY2324"
"Bellevue College","419009302","0","Non-Approved Out of State College and University","Open","4255641000",,"http://www.bellevuecollege.edu/","Out-of-State",,,"SY2324"
"Bellevue University","490000336","0","Approved Out of State College and University","Open","4022918100",,"http://www.bellevue.edu","Out-of-State",,,"SY2324"
"Bellevue University","490000336","0","Non-Approved Out of State College and University","Open","4022918100",,"http://www.bellevue.edu","Out-of-State",,,"SY2324"
"Bellevue University - CCAC","490000336","1","Approved Out of State College and University","Open","4025577005",,"www.bellevue.edu","Allegheny","Pittsburgh","Dr Mary B Hawkins , Chief Executive Officer","SY2324"
"Bellin College","434008953","0","Non-Approved Out of State College and University","Open",,,"http://www.bellincollege.edu","Out-of-State",,,"SY2324"
"Belmont Abbey College","430002758","0","Non-Approved Out of State College and University","Open","7044616700",,"http://www.belmontabbeycollege.edu","Out-of-State",,,"SY2324"
"Belmont University","403002539","0","Non-Approved Out of State College and University","Open","6154606000",,"http://www.belmont.edu","Out-of-State",,,"SY2324"
"Beloit College","495008158","0","Non-Approved Out of State College and University","Open","6083632000",,"http://www.beloit.edu","Out-of-State",,,"SY2324"
"Bemidji State University","483006844","0","Non-Approved Out of State College and University","Open","8004752001",,"http://www.bemidjistate.edu","Out-of-State",,,"SY2324"
"Benedict College","433006699","0","Non-Approved Out of State College and University","Open","8032564220",,"http://www.benedict.edu","Out-of-State",,,"SY2324"
"Benedictine College","495006021","0","Non-Approved Out of State College and University","Open","9133675340",,"http://www.benedictine.edu","Out-of-State",,,"SY2324"
"Benedictine University","456000741","0","Non-Approved Out of State College and University","Open","6308296000",,"http://www.ben.edu","Out-of-State",,,"SY2324"
"Benjamin Franklin Institute of Technology","498004237","0","Non-Approved Out of State College and University","Open","6174234630",,"http://www.bfit.edu/","Out-of-State",,,"SY2324"
"Bennett College for Women","437006114","0","Non-Approved Out of State College and University","Open","3365172100",,"http://www.bennett.edu","Out-of-State",,,"SY2324"
"Bennington College","480007435","0","Non-Approved Out of State College and University","Open","8024425401",,"http://www.bennington.edu","Out-of-State",,,"SY2324"
"Bentley University","453000655","0","Non-Approved Out of State College and University","Open","8005232354",,"http://www.bentley.edu","Out-of-State",,"Mr E. LaBrent   Chrite , Chief Executive Officer","SY2324"
"Berea College","438009298","0","Non-Approved Out of State College and University","Open","8599853000",,"http://www.berea.edu","Out-of-State",,,"SY2324"
"Berkeley College","448002133","0","Non-Approved Out of State College and University","Open","9732785400",,"http://www.BerkeleyCollege.edu","Out-of-State",,,"SY2324"
"Berkeley College","457004614","0","Non-Approved Out of State College and University","Open","2129864343",,"http://www.BerkeleyCollege.edu","Out-of-State",,,"SY2324"
"Berklee College of Music","424003249","0","Non-Approved Out of State College and University","Open","6177472222",,"http://www.berklee.edu","Out-of-State",,,"SY2324"
"Berks Technical Institute","414066119","0","Private Licensed School","Open","6103721722",,"http://www.berks.edu","Berks",,"Ms Elizabeth   Vlastos , Chief Executive Officer","SY2324"
"Berry College","469002064","0","Non-Approved Out of State College and University","Open","7062325374",,"http://www.berry.edu","Out-of-State",,,"SY2324"
"Beth Hamedrash Shaarei Yosher Institute","437009553","0","Non-Approved Out of State College and University","Open","7188542290",,,"Out-of-State",,,"SY2324"
"Beth Hatalmud Rabbinical College","482004906","0","Non-Approved Out of State College and University","Open","7182592525",,,"Out-of-State",,,"SY2324"
"Beth Medrash Govoha","452006150","0","Non-Approved Out of State College and University","Open","7323671060",,,"Out-of-State",,,"SY2324"
"Bethany Theological Seminary","443008812","0","Approved Out of State College and University","Open","8002878822",,"https://www.bethanyseminary.edu","Out-of-State",,"Dr Jeffrey W Carter , Chief Executive Officer","SY2324"
"Bethany Theological Seminary","443008812","0","Non-Approved Out of State College and University","Open","8002878822",,"https://www.bethanyseminary.edu","Out-of-State",,"Dr Jeffrey W Carter , Chief Executive Officer","SY2324"
"Bethany Theological Seminary","443008812","0","Theological Seminary","Open","8002878822",,"https://www.bethanyseminary.edu","Out-of-State",,"Dr Jeffrey W Carter , Chief Executive Officer","SY2324"
"Bethany Theological Seminary - SVMC","443008812","1","Approved Out of State College and University","Open","7659831815",,,"Juniata","Huntingdon","Dr Steven   Schweitzer , Academic Affairs","SY2324"
"Bethany Theological Seminary - SVMC","443008812","1","Theological Seminary","Open","7659831815",,,"Juniata","Huntingdon","Dr Steven   Schweitzer , Academic Affairs","SY2324"
"Bethany University","434008974","0","Non-Approved Out of State College and University","Open","8314383800",,"http://www.bethany.edu","Out-of-State",,,"SY2324"
"Bethel College","426007295","0","Non-Approved Out of State College and University","Open","5748077000",,"http://www.bethelcollege.edu","Out-of-State",,,"SY2324"
"Bethel College","475004452","0","Non-Approved Out of State College and University","Open","3162832500",,"http://www.bethelks.edu","Out-of-State",,,"SY2324"
"Bethel College","490001682","0","Non-Approved Out of State College and University","Open",,,"http://www.bethel-college.com","Out-of-State",,,"SY2324"
"Bethel Seminary San Diego","444003622","0","Non-Approved Out of State College and University","Open","6195828188",,"http://www.bethel.edu","Out-of-State",,,"SY2324"
"Bethel University","400009174","0","Approved Out of State College and University","Open","6516386180",,"http://www.bethel.edu","Out-of-State",,"Dr George K Brushaber , Chief Executive Officer","SY2324"
"Bethel University","400009174","0","Non-Approved Out of State College and University","Open","6516386180",,"http://www.bethel.edu","Out-of-State",,"Dr George K Brushaber , Chief Executive Officer","SY2324"
"Bethesda Christian University","450008092","0","Non-Approved Out of State College and University","Open","7145171945",,"http://www.bcu.edu","Out-of-State",,,"SY2324"
"Bethune-Cookman University","497008078","0","Non-Approved Out of State College and University","Open","3864812000",,"http://www.cookman.edu","Out-of-State",,"Mr E. LaBrent   Chrite , Chief Executive Officer","SY2324"
"Beulah Heights University","455001321","0","Non-Approved Out of State College and University","Open","4046272681",,"http://www.beulah.org","Out-of-State",,,"SY2324"
"Bexley Hall Episcopal Seminary","405001181","0","Non-Approved Out of State College and University","Open","6142313095",,"http://www.bexley.edu","Out-of-State",,,"SY2324"
"Bidwell Training Center Inc","402021409","0","Private Licensed School","Open","4123234000",,"http://www.bidwell-training.org","Allegheny",,"Dr Kimberly   Rassau , Chief Executive Officer","SY2324"
"Bill Allens Pocono Institute of Taxidermy","418403019","0","Private Licensed School","Open","5704439166",,"http://www.poconoinstitute.com","Luzerne",,"Mr William R Allen , Chief Executive Officer","SY2324"
"Biola University","486001677","0","Non-Approved Out of State College and University","Open","5629036000",,"http://www.biola.edu","Out-of-State",,,"SY2324"
"Birmingham Southern College","429009140","0","Non-Approved Out of State College and University","Open","2052264600",,"http://www.bsc.edu","Out-of-State",,,"SY2324"
"Birthingway College of Midwifery","413002714","0","Non-Approved Out of State College and University","Open","5037603131",,"http://www.birthingway.edu","Out-of-State",,,"SY2324"
"Bismarck State College","493009636","0","Non-Approved Out of State College and University","Open","7012245400",,"http://www.bismarckstate.edu","Out-of-State",,,"SY2324"
"Black Hills State University","415002940","0","Non-Approved Out of State College and University","Open","6056426011",,"http://www.bhsu.edu","Out-of-State",,,"SY2324"
"Blackburn College","454003881","0","Non-Approved Out of State College and University","Open","2178543231",,"http://www.blackburn.edu","Out-of-State",,,"SY2324"
"Blackstone Career Institute","419350209","0","Private Licensed School","Open","6108710031",,"http://www.blackstone.edu/","Lehigh",,"Mr Kevin   McCloskey , Chief Executive Officer","SY2324"
"Blessed John XXIII National Seminary","467007071","0","Non-Approved Out of State College and University","Open","7818995500",,"http://www.blessedjohnxxiii.edu","Out-of-State",,,"SY2324"
"Blessing Rieman College of Nursing","415004547","0","Non-Approved Out of State College and University","Open",,,"http://www.brcn.edu","Out-of-State",,,"SY2324"
"Bloomfield College","497003022","0","Non-Approved Out of State College and University","Open","9737489000",,"http://www.bloomfield.edu","Out-of-State",,,"SY2324"
"Blue Mountain College","401000369","0","Non-Approved Out of State College and University","Open","6626854771",,"http://www.bmc.edu","Out-of-State",,,"SY2324"
"Bluefield College","468009129","0","Non-Approved Out of State College and University","Open","2763263682",,"http://www.bluefield.edu","Out-of-State",,,"SY2324"
"Bluefield State College","422004572","0","Non-Approved Out of State College and University","Open","3043274000",,"http://www.bluefieldstate.edu","Out-of-State",,,"SY2324"
"Bluffton University","474009896","0","Non-Approved Out of State College and University","Open","4193583000",,"http://www.bluffton.edu","Out-of-State",,,"SY2324"
"Bob Jones University","436000138","0","Non-Approved Out of State College and University","Open","8642425100",,"http://www.bju.edu","Out-of-State",,,"SY2324"
"Boise Bible College","407004622","0","Non-Approved Out of State College and University","Open","2083767731",,"http://www.boisebible.edu","Out-of-State",,,"SY2324"
"Boise State University","414002633","0","Non-Approved Out of State College and University","Open","2084261011",,"http://www.boisestate.edu","Out-of-State",,,"SY2324"
"Bon Secours Memorial College of Nursing","428006258","0","Non-Approved Out of State College and University","Open","8046275300",,"http://www.bsmcon.edu","Out-of-State",,,"SY2324"
"Boricua College","483006152","0","Non-Approved Out of State College and University","Open","2126941000",,"http://www.boricuacollege.edu","Out-of-State",,,"SY2324"
"Boston Architectural College","458008411","0","Non-Approved Out of State College and University","Open","6172625000",,"http://www.the-bac.edu","Out-of-State",,,"SY2324"
"Boston Baptist College","466003624","0","Non-Approved Out of State College and University","Open","6173643510",,"http://www.Boston.edu","Out-of-State",,,"SY2324"
"Boston College","448001562","0","Non-Approved Out of State College and University","Open","6175528000",,"http://www.bc.edu","Out-of-State",,,"SY2324"
"Boston Graduate School of Psychoanalysis Inc","481002980","0","Non-Approved Out of State College and University","Open","6172773915",,"http://www.bgsp.edu","Out-of-State",,,"SY2324"
"Boston University","452000601","0","Non-Approved Out of State College and University","Open","6173532000",,"http://www.bu.edu","Out-of-State",,,"SY2324"
"Bowdoin College","432006769","0","Non-Approved Out of State College and University","Open","2077253000",,"http://www.bowdoin.edu","Out-of-State",,,"SY2324"
"Bowie State University","438009087","0","Non-Approved Out of State College and University","Open","3018604000",,"http://www.bowiestate.edu","Out-of-State",,,"SY2324"
"Bowling Green State University-Main Campus","448000401","0","Non-Approved Out of State College and University","Open","4193722531",,"http://www.bgsu.edu","Out-of-State",,,"SY2324"
"Bradley University","423009768","0","Non-Approved Out of State College and University","Open","3096767611",,"http://www.bradley.edu","Out-of-State",,,"SY2324"
"Brandeis University","447001657","0","Non-Approved Out of State College and University","Open","7817362000",,"http://www.brandeis.edu/","Out-of-State",,,"SY2324"
"Brazosport College","446001418","0","Non-Approved Out of State College and University","Open","9792303000",,"http://www.brazosport.edu","Out-of-State",,,"SY2324"
"Brenau University","420002243","0","Non-Approved Out of State College and University","Open","7705346299",,"http://www.brenau.edu","Out-of-State",,,"SY2324"
"Brescia University","478006052","0","Non-Approved Out of State College and University","Open","2706853131",,"http://www.brescia.edu","Out-of-State",,,"SY2324"
"Brevard College","443006128","0","Non-Approved Out of State College and University","Open","8288838292",,"http://www.brevard.edu","Out-of-State",,,"SY2324"
"Brewton-Parker College","497002046","0","Non-Approved Out of State College and University","Open","9125832241",,"http://www.bpc.edu","Out-of-State",,,"SY2324"
"Briar Cliff University","449006216","0","Non-Approved Out of State College and University","Open","7122795321",,"http://www.briarcliff.edu","Out-of-State",,,"SY2324"
"Briarcliffe College","462009147","0","Non-Approved Out of State College and University","Open","5169183600",,"http://www.briarcliffe.edu","Out-of-State",,,"SY2324"
"Bridgewater College","491005188","0","Non-Approved Out of State College and University","Open","5408288000",,"http://www.bridgewater.edu","Out-of-State",,,"SY2324"
"Bridgewater State University","416004283","0","Non-Approved Out of State College and University","Open","5085311000",,"http://www.bridgew.edu","Out-of-State",,,"SY2324"
"Bridgeway High School","421399289","0","Private Licensed School","Open","6102669016",,"http://www.bridgewayhighschool.com","Lehigh",,"Ms Jessica   Parnell , Chief Executive Officer","SY2324"
"Brigham Young University","494009021","0","Non-Approved Out of State College and University","Open","8014224636",,"http://www.byu.edu","Out-of-State",,,"SY2324"
